epoch,loss,Accuracy,F1_Macro,F1_Weighted,MCC,FPR,FNR
1,2.946103,0.01854228105325559,0.06329058328981826,0.0069095376369438626,0.023660836442121247,1.0,0.0
2,1.284092,0.05427613065892258,0.1798540302956995,0.0380333548005179,0.06890820349901781,0.999904979095401,0.0
3,0.820377,0.10355462506472164,0.2267090254118032,0.10142878265672105,0.11295988274022219,0.9593582016615084,0.00048661800486618007
4,0.616857,0.1512798000945499,0.23722993302422685,0.17079357401835174,0.14660187835840505,0.892802845197372,0.0015773135330145146
5,0.504281,0.17297374364977525,0.2543465129135296,0.2007064334823572,0.16258630435081647,0.8639979366889287,0.0018290125010487458
6,0.430541,0.2107861897150747,0.26298059570380006,0.2535466357396945,0.18744942534808917,0.8057093989249063,0.0029029280979947984
7,0.377107,0.20948800492259667,0.27214513583433564,0.2511798417657481,0.18974550978980412,0.8179399467882934,0.0027519087171742596
8,0.34032,0.22967365285187938,0.2800891295449156,0.27713059227503767,0.2014888006539711,0.7800944779280014,0.0033392063092541322
9,0.311184,0.2347388247300451,0.28282118143688373,0.2841824459982909,0.20789307788851405,0.7833387630993104,0.0029700478228039265
10,0.285565,0.255952514951637,0.288383477349113,0.31053272556586975,0.2221445450670447,0.7513302926643861,0.0038929440389294406
11,0.265025,0.27126809391954254,0.2879783492879361,0.33404719013978923,0.2338686379031686,0.734511592550361,0.0038593841765248763
12,0.246659,0.3062440437330692,0.29695758498128,0.3740468738586637,0.2553248474600061,0.6718249443448987,0.0052521184663142885
13,0.234356,0.3037452256065074,0.2953562772176249,0.37303003546292307,0.2568673281671573,0.6884536026497258,0.004262102525379646
14,0.219588,0.3219273166595379,0.30291650365196077,0.3923971110020724,0.26812898762520193,0.6557799858826084,0.005084319154291467
15,0.208635,0.31431079894644426,0.3036137264204786,0.38326130072630715,0.2637619103570643,0.6693544008253244,0.004933299773470929
16,0.197993,0.3235256597855369,0.30572764320670054,0.39617744040172753,0.2722402815332642,0.6648341206494001,0.005050759291886904
17,0.189244,0.33893879021183676,0.3142950863456975,0.41334920466763714,0.28258229855100364,0.6394635391214639,0.00510109908549375
18,0.182849,0.3546971027216857,0.31425226653002014,0.4317550060019955,0.2929118386908943,0.6130205788130532,0.0056380568839667754
19,0.17406,0.3470055454252118,0.3170817633300561,0.4228905578764256,0.28985695528738664,0.6328527990443612,0.005201778672707442
20,0.16765,0.3584040581406692,0.31977316209313444,0.436367278781404,0.2968192405619394,0.6122061139164902,0.0058729759207987245
21,0.161706,0.3640020110608346,0.3205099280874535,0.4418574023448635,0.30099995910700106,0.6042379323451159,0.0058226361271918785
22,0.157028,0.3678965654382687,0.3215446730271857,0.44679749927422313,0.30509509725456024,0.6037356789922355,0.0057722963335850325
23,0.152987,0.37158851294057615,0.3274061479246777,0.44994160393939364,0.3073871678783334,0.5964054949231689,0.006175014682439802
24,0.150763,0.3770438906523191,0.32444108893046136,0.4558096027229293,0.3106174160838166,0.5861975348862464,0.005906535783203289
25,0.147541,0.37706640252733314,0.3252791057972645,0.4559291150487974,0.31170301882401447,0.5899847966552642,0.006141454820035238
26,0.146348,0.3779068458611918,0.32628411558334985,0.45741263034393437,0.31243647290804033,0.5893332247380138,0.006141454820035238
27,0.142883,0.3798878908624299,0.3267762445432005,0.4591639636329869,0.31367458993309477,0.5854237932345115,0.006091115026428392
28,0.142837,0.3819814952387384,0.3279959345115868,0.46149329523404364,0.31509889712873984,0.5820980615735462,0.006326034063260341
29,0.141419,0.38015052940426075,0.3274022453028119,0.4595263192859902,0.3140263990585346,0.5855866862138241,0.006124674888832956
30,0.142199,0.3799704344041482,0.3273580772688449,0.45934783782134514,0.3138350022331729,0.5857088559483087,0.006208574544844366
