epoch,acc,f1,mcc,fpr,fnr
1,0.9034915918146822,0.8999125947663222,0.8138064393556287,0.010600562645248094,0.2024228410576053
2,0.9194299993246438,0.9170925661247274,0.8420593279591032,0.015357225370679932,0.16096980664186858
3,0.9213209968258256,0.9190627062219077,0.8457971538719252,0.014433073755453173,0.15788680004021313
4,0.9276093139130892,0.9257712967478868,0.8570296637605334,0.01750451882958916,0.14005897925672733
5,0.9221539362013462,0.91986780977431,0.8478908020893339,0.01198679006808823,0.15904292751583393
6,0.9322242482909735,0.9306081679042028,0.8657736035822697,0.017626833013957406,0.1296035655641567
7,0.928847467038863,0.9269631528871615,0.8601326617180557,0.013427379350647585,0.14232096779598538
8,0.9309710872485236,0.9293249601032028,0.8632021842228886,0.018754841603131244,0.13101102509969506
9,0.9300405964146087,0.9281880572904917,0.8625892097137052,0.012353732621192971,0.14098053014309173
10,0.9337100320419021,0.9320630797261693,0.8693051944799888,0.013481741210366806,0.13139640092490198
11,0.9374394993358997,0.9359798800219875,0.8762380328065662,0.014365121430804147,0.12197982641332394
12,0.9393304968370816,0.9379640619969294,0.8797479104219673,0.014990282817575189,0.11698669615629503
13,0.9356460532931121,0.9340434077519291,0.8733142664094652,0.011565485655264267,0.129436010857545
14,0.9362088501684639,0.9346465944086396,0.8742654497551378,0.012204237506965114,0.12739184343688215
15,0.9406436895462357,0.9393036498859314,0.8824631174569276,0.013644826789524469,0.11571328038604604
16,0.9382949505864343,0.9368151659729013,0.8783017967887671,0.011742161699351735,0.12330350859555644
17,0.9385350772532511,0.9370607551977683,0.8787971590750262,0.011511123795545046,0.12305217653563888
18,0.9377621695444347,0.9362405304683316,0.8774363345628716,0.010913143338633614,0.125515230722831
19,0.9385951089199552,0.9371154153275114,0.8789743813535483,0.011144181242440303,0.12337053047820114
20,0.940125916420912,0.9387232851298233,0.8817939506490766,0.011660618909772904,0.11931570657819777
