epoch,loss,Accuracy,F1_Macro,MCC,FPR,FNR,TP,TN,FP,FN
1,0.373686,0.9270990447461036,0.9261463027517021,0.8524134472695302,0.05872291904218928,0.09042704924909808,54206,69342,4326,5389
2,0.191305,0.9350307287093942,0.9343799630954874,0.8688289269396288,0.06420698267904654,0.06591156976256397,55667,68938,4730,3928
3,0.163729,0.9454762387159227,0.944715440762605,0.8896968989354014,0.03872780583156866,0.07404983639567078,55182,70815,2853,4413
4,0.148628,0.9472621808003722,0.9466626170306145,0.8933255758250704,0.04732041049030787,0.059434516318483094,56053,70182,3486,3542
5,0.140246,0.9504963868440602,0.9498382898955702,0.8998322804371102,0.03669164359016126,0.06534105210168638,55701,70965,2703,3894
6,0.134683,0.9525749833036927,0.9519803856008455,0.9040235550745698,0.03776402237063583,0.05936739659367397,56057,70886,2782,3538
7,0.12834,0.9531602920540585,0.9525929047071942,0.9052139300637974,0.038931422055709396,0.056615487876499705,56221,70800,2868,3374
8,0.125905,0.9544134530965084,0.953878659059684,0.9077657505419122,0.03935222891893359,0.053293061498447855,56419,70769,2899,3176
9,0.121095,0.9546910995550153,0.9541831940886705,0.9083665819054111,0.04126622142585654,0.050306233744441646,56597,70628,3040,2998
10,0.118716,0.9553889676804515,0.9548967102196518,0.9097959255657467,0.04137481674539827,0.04861146069301116,56698,70620,3048,2897
11,0.11614,0.9570773583065066,0.9565837756286673,0.9131695888585792,0.03789976652006299,0.0491316385602819,56667,70876,2792,2928
12,0.113255,0.9570923662231827,0.9566155290335806,0.9132322034002505,0.03950154748330347,0.047118046816008056,56787,70758,2910,2808
13,0.111717,0.958780756849238,0.9582873270628989,0.9165942329964324,0.034424716294727695,0.04961825656514808,56638,71132,2536,2957
14,0.109584,0.9588407885159421,0.9583723901439349,0.9167452182563604,0.03680023890970299,0.04654752915513046,56821,70957,2711,2774
15,0.106622,0.959080915182759,0.9586119116578364,0.9172252329200449,0.03624368789705164,0.046698548535951005,56812,70998,2670,2783
16,0.105284,0.960071437683378,0.9595847408131699,0.9192030792223359,0.032374979638377585,0.049265878009900156,56659,71283,2385,2936
17,0.103551,0.9596587199747867,0.9592085840904647,0.9184177727164442,0.036990280718901015,0.04448359761724977,56944,70943,2725,2651
18,0.102464,0.9599063505999414,0.9594612368577502,0.9189237855524018,0.03700385513384373,0.04391307995637218,56978,70942,2726,2617
19,0.101616,0.960409115808589,0.9599615901008851,0.9199232084938832,0.035700711299343,0.04439969796123836,56949,71038,2630,2646
20,0.100385,0.9611369997673773,0.960676958313297,0.9213667906255648,0.03283650974642993,0.046312610118298514,56835,71249,2419,2760
21,0.098819,0.9615347095592925,0.9610799511589101,0.9221721105423303,0.03253787261769018,0.04579243225102777,56866,71271,2397,2729
22,0.097337,0.9614446620592363,0.960996108814145,0.9219974789001434,0.033393060759081286,0.04493665575971138,56917,71208,2460,2678
23,0.09884,0.9616472689343629,0.9612121816331789,0.9224245493033622,0.03441114187978498,0.04322510277707861,57019,71133,2535,2576
24,0.096853,0.9615947412259968,0.9611593701641684,0.9223188837469882,0.034492588369441274,0.043241882708280895,57018,71127,2541,2577
25,0.095316,0.9616097491426727,0.9611729244960405,0.9223462744198865,0.03430254656024325,0.04344324188270828,57006,71141,2527,2589
26,0.095372,0.9621050103929824,0.9616681249694147,0.9233388768010325,0.03323016777976869,0.043661380988337946,56993,71220,2448,2602
27,0.094182,0.9621275222679964,0.9616912067609329,0.9233848725981232,0.033243742194711406,0.04359426126352882,56997,71219,2449,2598
28,0.095218,0.9621650420596864,0.9617304598670829,0.9234627344483691,0.033352337514253136,0.043376122157899155,57010,71211,2457,2585
29,0.095662,0.9621950578930386,0.9617590866503012,0.9235208691112651,0.03313514687516968,0.043577481332326536,56998,71227,2441,2597
30,0.096629,0.9622100658097146,0.9617737718037392,0.9235505231233739,0.0330672748004561,0.043627821125933386,56995,71232,2436,2600
