epoch,loss,Accuracy,F1_Macro,F1_Weighted,MCC,FPR,FNR,TP,TN,FP,FN
1,0.252218,0.9645588047695159,0.9641656836831289,0.9645620436952168,0.9283328348149559,0.03283650974642993,0.03866096149005789,57291,71249,2419,2304
2,0.093771,0.9722578660243278,0.971996681511232,0.9722822797748527,0.9441547491280766,0.03325731660965412,0.020924574209245744,58348,71218,2450,1247
3,0.075561,0.975837254151565,0.9756034797895087,0.9758556765390081,0.9513253063356123,0.028832057338328717,0.01839080459770115,58499,71544,2124,1096
4,0.060381,0.9779833862362396,0.977670169201556,0.9779494509179029,0.9556714708004214,0.008307541944942173,0.038963000251698965,57273,73056,612,2322
5,0.051056,0.9806022676962097,0.9803984782479058,0.9806095416057202,0.9608234714142493,0.020836726937069013,0.017618927762396173,58545,72133,1535,1050
6,0.042588,0.9819004524886877,0.9816786409247649,0.9818915273831355,0.9633967071414968,0.012366292012814247,0.025186676734625386,58094,72757,911,1501
7,0.036568,0.9802570856126607,0.9799734284192312,0.9802251249944604,0.960309451835724,0.005728403105826139,0.037066868025841096,57386,73246,422,2209
8,0.033097,0.9836938985314754,0.9834930989223425,0.9836853599714191,0.9670305274983942,0.01050659716566216,0.023475123751992618,58196,72894,774,1399
9,0.029636,0.9834162520729685,0.9832313142848719,0.9834172828087651,0.9664633172329274,0.01552913069446707,0.017887406661632688,58529,72524,1144,1066
10,0.025305,0.9837689381148556,0.9835602077303434,0.9837558299134308,0.9672214487842892,0.00828039311505674,0.026059233157144056,58042,73058,610,1553
11,0.023979,0.9843392389485454,0.9841500342547159,0.9843329104673713,0.9683269890370573,0.010859531954172776,0.021595771457337026,58308,72868,800,1287
12,0.021989,0.9832811808228841,0.9831056662019456,0.9832875124259364,0.9662384719575303,0.018447629907151,0.01458176021478312,58726,72309,1359,869
13,0.018973,0.9833111966562361,0.9831381797756171,0.9833185536226392,0.9663135935468263,0.01899060650485964,0.013843443241882709,58770,72269,1399,825
14,0.017244,0.9844292864486016,0.9842373841807708,0.9844210512519884,0.9685199887704026,0.00980072758864093,0.022703246916687642,58242,72946,722,1353
15,0.014643,0.9847444526987986,0.9845553457541834,0.9847358219532589,0.9691621562842988,0.009230602161046859,0.022703246916687642,58242,72988,680,1353
16,0.01381,0.9853747851991925,0.9852005877719587,0.9853701465209879,0.9704180126859556,0.010615192485203888,0.019582179713063176,58428,72886,782,1167
17,0.012377,0.9852096981157561,0.985044068458526,0.9852102768274793,0.9700884092238825,0.01371015909214313,0.01612551388539307,58634,72658,1010,961
18,0.011202,0.9851421624907138,0.9849651695773847,0.9851374374568564,0.9699472598396157,0.010818808709344627,0.01985065861229969,58412,72871,797,1183
19,0.009659,0.9858550385328261,0.9856930514798047,0.9858538162045697,0.9713874029480235,0.012067654884074496,0.01671281147747294,58599,72779,889,996
20,0.008431,0.9853597772825166,0.9851721647499285,0.9853483002516703,0.9704400182046671,0.007017972525384156,0.02406242134407249,58161,73151,517,1434
21,0.007822,0.9854873445742629,0.9853261572239678,0.9854885678762699,0.97065358890661,0.013845903241570288,0.015336857118885813,58681,72648,1020,914
22,0.006216,0.9854198089492208,0.9852547850099509,0.9854195163120749,0.9705096409356111,0.013017863930064615,0.016511452303045557,58611,72709,959,984
23,0.005581,0.9856599356160375,0.9855009187338972,0.9856612687326332,0.9710033903861182,0.013764456751913992,0.015051598288447017,58698,72654,1014,897
24,0.005474,0.984571861657024,0.9843664070971891,0.984555669519167,0.9688978042724292,0.0057827007655970025,0.027351287859719776,57965,73242,426,1630
25,0.004589,0.9860651493662907,0.9859012126908527,0.9860617611134999,0.9718124494967826,0.010588043655318456,0.01807198590485779,58518,72888,780,1077
26,0.003842,0.9815627743634767,0.9813942195391644,0.9815812324721941,0.9630055780469488,0.02610359993484281,0.008960483262018626,59061,71745,1923,534
27,0.003306,0.985164674365728,0.9849738930572765,0.9851526933605422,0.9700489665298908,0.007017972525384156,0.024498699555331824,58135,73151,517,1460
28,0.002897,0.9866729699916706,0.9865175717500129,0.9866704283555102,0.9730413686502167,0.010465873920834012,0.01686383085829348,58590,72897,771,1005
29,0.002572,0.986477867074882,0.9863258488446561,0.9864781050936041,0.9726517526585889,0.012379866427756963,0.014934138770031044,58705,72756,912,890
30,0.002198,0.9862752601997554,0.9861183544436696,0.9862742081072351,0.9722377340478358,0.011769017755334746,0.016142293816595352,58633,72801,867,962
