epoch,G_reward_paper_style,D_reward_paper_style,G_loss_positive,D_loss_positive
1,-0.7715850573280384,-0.2654150125173736,0.7738467534042783,0.26661330844401293
2,-0.2648666039332588,-0.15357077378596176,0.2655612079215254,0.15374264577343835
3,-0.035782887518597366,-0.13325839989062804,0.03580433703815401,0.13342040901648666
4,-0.014770461050933128,-0.12492832383519832,0.014774823445643296,0.1250986034246022
5,-0.007472228671661409,-0.1194513002829327,0.007474025296609713,0.11966627691044797
6,-0.004679725584185162,-0.11457223496230307,0.004680183740548104,0.11477018047195942
7,-0.00290864501826513,-0.1101800955401243,0.002908958185452178,0.1104049511748412
8,-0.0020456254994297277,-0.10632504518014205,0.002045773916750173,0.10660031591033527
9,-0.001500987315179513,-0.10294231914414584,0.001501021029505424,0.10320375588517118
10,-0.0010752036631091375,-0.09971069765518513,0.0010753473532695236,0.09997872715492831
11,-0.0008364883553121055,-0.09736892175751018,0.0008364915496288805,0.09767468927759175
12,-0.0006849788256713471,-0.09519193902994631,0.0006849789996711214,0.0954779274203282
13,-0.0005552237065672491,-0.093471308049349,0.00055522417546922,0.09380671615678442
14,-0.00047430543986057397,-0.09182080675945548,0.0004743052490964947,0.09212501753097684
15,-0.0004047080280525486,-0.09032885427138024,0.0004047079746435921,0.09064660861896753
16,-0.0003654228340648912,-0.08930380163790072,0.00036542274669107904,0.08967012837848265
17,-0.00033558470773365054,-0.08830222797757553,0.00033558478008814126,0.08870052489625566
18,-0.00030193538694169844,-0.08720616141944422,0.00030193524092397947,0.08759280139424816
19,-0.00026962295490191407,-0.08624389490842564,0.0002696230664250503,0.08658714196794294
20,-0.00023840096483392965,-0.08542152601084821,0.00023840095523652087,0.08578391677083755
21,-0.0002152221807706463,-0.08461881801486015,0.00021522187530506818,0.08498477449987635
22,-0.0001900140038413261,-0.08401886219003216,0.00019001394008711075,0.08441713436385039
23,-0.00017405231137400019,-0.08339182131901798,0.0001740524366077203,0.08379019533605085
24,-0.00016294909382889115,-0.08259137090479025,0.00016294915562000014,0.08298735538342014
25,-0.0001523108888111861,-0.08199807597878658,0.0001523109726950315,0.08239754855760414
26,-0.00014488596543761937,-0.08166405489983344,0.00014488585326011437,0.0821134636868629
27,-0.00013695778940929943,-0.08136480318370416,0.0001369578572143691,0.0818728168177911
