epoch,G_reward_paper_style,D_reward_paper_style,G_loss_positive,D_loss_positive
28,-0.0001322320242302953,-0.08056653443348995,0.00013223288728039396,0.08099571378538645
29,-0.00010322485262691592,-0.08010642547997979,0.0001032686449019727,0.08056390087660681
30,-9.151613247546924e-05,-0.07953063875628233,9.151633561023449e-05,0.07995276507269392
31,-8.487155719194561e-05,-0.07899686528222209,8.487154944858173e-05,0.07942987614704149
32,-7.815104124310269e-05,-0.07864800533499146,7.815286453264393e-05,0.07909890008208839
33,-7.347807494638791e-05,-0.07803855869895131,7.348268039385455e-05,0.07847651547295634
34,-6.694802368753759e-05,-0.0778826754899173,6.695163919968327e-05,0.07834158603269487
35,-6.714402218733174e-05,-0.07748540293034445,6.715098287941633e-05,0.07793863980813506
36,-6.152675916959045e-05,-0.07705378427112383,6.15282062827749e-05,0.07749926416119621
37,-6.067778800995083e-05,-0.07684094116602261,6.068121525085066e-05,0.07732722315562358
38,-5.7566275831540785e-05,-0.07625686417172246,5.7566693669376494e-05,0.07671340258205728
39,-5.140657966481113e-05,-0.07599428286516692,5.1406648015188115e-05,0.07645831934357863
40,-5.081379653857792e-05,-0.07575899368148034,5.081387232071461e-05,0.07624756117257622
41,-4.816437749137526e-05,-0.07547164938115461,4.816436900795144e-05,0.07594755208977284
42,-4.666100394621898e-05,-0.07530379739671754,4.666107910514731e-05,0.07579904616804399
43,-4.405628889674476e-05,-0.07476418459791953,4.405633554389058e-05,0.07524265801210986
44,-4.019755588413657e-05,-0.07464421036348098,4.019759753003529e-05,0.07517016876082093
45,-4.158707762052798e-05,-0.07441478015204823,4.158711952350015e-05,0.0749360196834841
46,-3.912622586651246e-05,-0.07415644898691576,3.9126308550681754e-05,0.07468101176447225
47,-3.839929554361164e-05,-0.07391109778615597,3.839942324679491e-05,0.07443500866184143
48,-3.731958916937041e-05,-0.07359700195283911,3.7323767212753006e-05,0.07411114243706748
49,-3.6735243629975785e-05,-0.0732993416775345,3.674294710852559e-05,0.07383451790287612
50,-3.289555801494731e-05,-0.07295256080125843,3.289980093821533e-05,0.07342115108410348
51,-3.215199251980416e-05,-0.07262503177852907,3.215710135213921e-05,0.07311862563152002
52,-3.05564373631152e-05,-0.07258325012707863,3.0567138754324966e-05,0.07309698809648224
53,-3.0002083215839826e-05,-0.07241813422079005,3.0011725740988862e-05,0.07295394716764415
54,-2.884381765339422e-05,-0.07207351263285448,2.885721983878282e-05,0.07258704999497667
55,-2.8718545325501767e-05,-0.07181414304903411,2.872895502403819e-05,0.07232241647226269
56,-2.7628186602653723e-05,-0.07195603317826411,2.7633707722375015e-05,0.0725480904862508
57,-2.8368154358774637e-05,-0.07154260476057994,2.8375751895798128e-05,0.07209268213913834
58,-2.5516668713763275e-05,-0.07112399438431993,2.5524088671459364e-05,0.0716316579368436
59,-2.3322073683760636e-05,-0.0709917488362345,2.3323714003222147e-05,0.07150867981018551
60,-2.434065781128134e-05,-0.07091808110092641,2.434352374399067e-05,0.07146967468061335
61,-2.1960617146561695e-05,-0.07060452042510473,2.1962177582396488e-05,0.07116681581454819
62,-2.1305798905790928e-05,-0.07041891421763749,2.1306896773009904e-05,0.07097018230108174
63,-2.0663916577598253e-05,-0.07025765942716751,2.066544819004635e-05,0.07081144477781187
64,-1.9796725508650493e-05,-0.07020219077198613,1.9798597377283466e-05,0.07077493229023395
65,-1.909546814122281e-05,-0.0701256954097199,1.909707216269235e-05,0.0707281412321444
66,-1.8417971293666058e-05,-0.06952751131939684,1.8419425082970083e-05,0.0700586488155341
67,-1.746894832596976e-05,-0.06937854367705178,1.7470122460259436e-05,0.06990979815288836
68,-1.6867000126198002e-05,-0.06911121384585694,1.686785880215299e-05,0.06966003021763785
69,-1.6101237160598784e-05,-0.0691345268401778,1.6102556475171196e-05,0.06975051324327956
70,-1.4803207673811592e-05,-0.06893415268055887,1.4806470635039951e-05,0.06951249363718502
71,-1.3924128457447549e-05,-0.06871923791519835,1.3924357291767587e-05,0.06931024679726656
72,-1.3065622811670847e-05,-0.0683989693795588,1.3065828213356515e-05,0.06893902830380699
73,-1.222554887840634e-05,-0.06834878629707677,1.2225780234772714e-05,0.06894464492478769
74,-1.1982725067261724e-05,-0.06829672574007792,1.1982794995134874e-05,0.06887119844938754
75,-1.1859190174168682e-05,-0.06810041079078293,1.1859391612638679e-05,0.0687238827060581
76,-1.1545789570271434e-05,-0.06792406734613586,1.1545865845132237e-05,0.06853057440904785
77,-1.111966690193596e-05,-0.06774682160746107,1.1119731723395605e-05,0.06835352224985844
78,-1.0879149953017687e-05,-0.06756162101789767,1.087934938553577e-05,0.06815998533010738
79,-1.0283898475691597e-05,-0.0673775311950315,1.02840092840857e-05,0.06798020148015635
80,-1.0264199757211262e-05,-0.06708400659023822,1.0264706304862101e-05,0.06764290812854083
81,-9.92340092923718e-06,-0.0671889714306376,9.923853631685632e-06,0.06782796083125874
82,-9.372347379132593e-06,-0.06673480856294167,9.373074162775616e-06,0.06733658127247394
83,-8.921340301836857e-06,-0.06678752847638068,8.9222038378433e-06,0.06743444872489578
84,-8.672853159691792e-06,-0.0666275133380798,8.673412081189028e-06,0.0672526597194932
85,-8.601065907392145e-06,-0.06643701111000407,8.601680118182392e-06,0.0670550233929775
86,-7.960203771286357e-06,-0.06613123288469856,7.961243284779961e-06,0.06671309156833931
87,-7.88346548106113e-06,-0.0660881952919082,7.883995458425052e-06,0.06672708394217287
88,-7.49085264936708e-06,-0.0659684359756093,7.491520732625079e-06,0.06659309766245347
89,-7.448050358319419e-06,-0.06575687523987105,7.4485932964697225e-06,0.06637247532159408
90,-6.909332254668324e-06,-0.06573953549726617,6.910206741614183e-06,0.06638919866027618
91,-6.5996380636987785e-06,-0.06559342941233381,6.599817706430114e-06,0.06625852208161763
92,-6.6389778782301345e-06,-0.06530356795249838,6.639705391221693e-06,0.06593491001018748
93,-6.3899340084760166e-06,-0.06531776215011609,6.390226165634344e-06,0.06596242101180988
94,-6.19261138177239e-06,-0.06506748578852198,6.1933446545724715e-06,0.06570243635224837
95,-5.781515445272918e-06,-0.06499968408517204,5.781672498648694e-06,0.06568371521297052
96,-6.1178236081015256e-06,-0.06488440157466706,6.118107286704855e-06,0.06552541585802649
97,-5.674451621975605e-06,-0.06461618019056524,5.674712872868045e-06,0.06526942811188402
98,-5.51662004981362e-06,-0.06462178200212101,5.516700823459778e-06,0.06527120233124532
99,-5.70431787775103e-06,-0.06434806145935038,5.704490249393567e-06,0.0649959885174253
100,-4.935506911067356e-06,-0.0641863504923258,4.935667452462428e-06,0.06482448353087111
