epoch,train_loss,train_acc,val_loss,val_acc
1,0.2351212376212909,90.78551435882429,0.17160147985252866,93.40777260004653
2,0.18790201592961792,92.7245371933695,0.1666797288075534,93.54659582929996
3,0.17622618868043655,93.17458709469246,0.1486916098502626,94.2692270172516
4,0.16770543163634055,93.51076442823589,0.14281186535214802,94.53336635075003
5,0.1628025118133684,93.74845230859277,0.13907844443086786,94.60090197579223
6,0.15759610192292386,93.97657264206869,0.13426632895467153,94.77874578840338
7,0.15574978777623794,94.00171090250107,0.13369807277117454,94.80500964258647
8,0.15236962209346053,94.12740220466296,0.13147410226987252,94.93407772600047
9,0.14920360383999065,94.26341144953963,0.128374263311449,95.00461493437788
10,0.14805435561731156,94.2840473349692,0.1272123929461993,95.06389620524827
11,0.14681226148657175,94.3690296631473,0.1257417808897559,95.15994687197497
12,0.14573201508998931,94.41911858505362,0.12529285342040422,95.14493895529893
13,0.14382509543857092,94.46376713716485,0.12331190467004692,95.24023922619182
14,0.14328094687571336,94.5284887778303,0.12216517571228627,95.27850941371574
15,0.1427149232906749,94.53336635075003,0.12109578318764928,95.34754583042555
16,0.1421204650386437,94.53299115283312,0.1203565871721226,95.31452841373824
17,0.13974286775434752,94.64855211123869,0.11947839197963109,95.38581601794947
18,0.13895268411326053,94.65324208519993,0.12061575745451265,95.38731680961708
19,0.13736682263610073,94.73353443941679,0.11866003895802114,95.43759333048183
20,0.13729713090484727,94.7691782415224,0.11760530487001136,95.45335164299168
